abilities sim: 116,287,920 round-sims in 40.6s

== calm ==
  arm       lev  liq | fire%  | liq% base→arm  | houseEV% base→arm | Δhouse% ±95CI
pinkSL    1000  0.10 |  56.68 |  76.08→  26.76 |-121.65→ -79.86 | 41.799±1.279
pinkSL    1500  0.10 |  47.50 |  81.49→  39.13 |-142.95→ -96.62 | 46.321±1.367
pinkSL    2000  0.10 |  38.93 |  83.96→  48.99 |-158.72→-111.12 | 47.601±1.519
pinkSL    3000  0.10 |  27.30 |  86.27→  61.60 |-161.05→-122.14 | 38.910±1.444
pinkSL      50  0.20 |  20.38 |   8.85→   2.62 |   5.37→   5.18 | -0.184±0.066
pinkSL     200  0.20 |  27.68 |  42.32→  26.49 | -21.10→ -17.81 |  3.292±0.221
pinkSL     500  0.20 |  52.09 |  65.06→  22.28 | -67.67→ -51.40 | 16.278±0.677
pinkSL    1000  0.20 |  48.45 |  77.85→  34.99 |-107.54→ -78.66 | 28.879±1.109
pinkSL    1500  0.20 |  38.67 |  82.74→  47.96 |-128.54→ -95.35 | 33.186±1.245
pinkSL    2000  0.20 |  30.74 |  84.95→  57.18 |-144.16→-109.94 | 34.220±1.322
pinkSL    3000  0.20 |  21.08 |  86.94→  67.82 |-149.41→-121.25 | 28.164±1.245
pinkTP      50  0.10 |   4.62 |   6.23→   6.23 |   4.58→   4.57 | -0.010±0.030
pinkTP     200  0.10 |  34.53 |  39.61→  37.07 | -23.51→ -22.32 |  1.196±0.399
pinkTP     500  0.10 |  46.67 |  62.33→  50.64 | -76.66→ -54.21 | 22.447±1.079
pinkTP    1000  0.10 |  47.99 |  76.08→  52.01 |-121.65→ -54.40 | 67.257±2.004
pinkTP    1500  0.10 |  48.18 |  81.49→  51.82 |-142.95→ -55.42 | 87.530±2.479
pinkTP    2000  0.10 |  47.64 |  83.96→  51.64 |-158.72→ -58.17 |100.546±2.674
pinkTP    3000  0.10 |  47.48 |  86.27→  51.30 |-161.05→ -63.03 | 98.024±2.880
pinkTP      50  0.20 |   4.62 |   8.85→   8.85 |   5.37→   5.36 | -0.010±0.030
pinkTP     200  0.20 |  34.01 |  42.32→  39.60 | -21.10→ -20.04 |  1.060±0.400
pinkTP     500  0.20 |  44.76 |  65.06→  53.26 | -67.67→ -46.33 | 21.341±1.053
pinkTP    1000  0.20 |  45.78 |  77.85→  54.22 |-107.54→ -45.75 | 61.781±1.937
pinkTP    1500  0.20 |  46.25 |  82.74→  53.75 |-128.54→ -48.06 | 80.479±2.461
pinkTP    2000  0.20 |  45.97 |  84.95→  53.35 |-144.16→ -51.55 | 92.612±2.620
pinkTP    3000  0.20 |  46.21 |  86.94→  52.62 |-149.41→ -58.19 | 91.219±2.797
skull       50  0.10 |   5.96 |   6.23→   5.53 |   4.58→   4.46 | -0.122±0.011
skull      200  0.10 |  38.75 |  39.61→  36.46 | -23.51→ -25.72 | -2.211±0.099
skull      500  0.10 |  61.70 |  62.33→  56.36 | -76.66→ -93.63 |-16.975±0.450
skull     1000  0.10 |  75.71 |  76.08→  68.44 |-121.65→-174.89 |-53.233±1.154
skull     1500  0.10 |  81.22 |  81.49→  73.36 |-142.95→-228.88 |-85.931±1.733
skull     2000  0.10 |  83.75 |  83.96→  75.42 |-158.72→-275.28 |-116.563±2.101
skull     3000  0.10 |  86.13 |  86.27→  77.20 |-161.05→-314.35 |-153.296±2.407
skull       50  0.20 |   8.49 |   8.85→   7.76 |   5.37→   5.06 | -0.308±0.018
skull      200  0.20 |  41.46 |  42.32→  38.88 | -21.10→ -23.93 | -2.827±0.117
skull      500  0.20 |  64.47 |  65.06→  58.72 | -67.67→ -87.19 |-19.516±0.488
skull     1000  0.20 |  77.52 |  77.85→  70.05 |-107.54→-164.14 |-56.603±1.243
skull     1500  0.20 |  82.49 |  82.74→  74.46 |-128.54→-218.19 |-89.647±1.773
skull     2000  0.20 |  84.76 |  84.95→  76.31 |-144.16→-264.09 |-119.927±2.105
skull     3000  0.20 |  86.81 |  86.94→  77.82 |-149.41→-304.43 |-155.015±2.411
skull1      50  0.10 |   5.96 |   6.23→   5.67 |   4.58→   4.49 | -0.096±0.010
skull1     200  0.10 |  38.75 |  39.61→  37.20 | -23.51→ -25.24 | -1.726±0.089
skull1     500  0.10 |  61.70 |  62.33→  58.26 | -76.66→ -88.90 |-12.244±0.384
skull1    1000  0.10 |  75.71 |  76.08→  71.06 |-121.65→-159.14 |-37.485±0.994
skull1    1500  0.10 |  81.22 |  81.49→  76.18 |-142.95→-202.97 |-60.021±1.447
skull1    2000  0.10 |  83.75 |  83.96→  78.40 |-158.72→-239.60 |-80.883±1.782
skull1    3000  0.10 |  86.13 |  86.27→  80.34 |-161.05→-266.81 |-105.760±2.088
skull1      50  0.20 |   8.49 |   8.85→   8.00 |   5.37→   5.13 | -0.235±0.016
skull1     200  0.20 |  41.46 |  42.32→  39.74 | -21.10→ -23.28 | -2.180±0.105
skull1     500  0.20 |  64.47 |  65.06→  60.83 | -67.67→ -81.42 |-13.744±0.422
skull1    1000  0.20 |  77.52 |  77.85→  72.78 |-107.54→-147.11 |-39.574±1.080
skull1    1500  0.20 |  82.49 |  82.74→  77.37 |-128.54→-190.54 |-62.000±1.501
skull1    2000  0.20 |  84.76 |  84.95→  79.32 |-144.16→-227.00 |-82.839±1.804
skull1    3000  0.20 |  86.81 |  86.94→  81.00 |-149.41→-256.14 |-106.726±2.131
skull1s     50  0.10 |   6.09 |   6.23→   5.90 |   4.58→   4.52 | -0.060±0.008
skull1s    200  0.10 |  39.13 |  39.61→  38.11 | -23.51→ -24.58 | -1.072±0.069
skull1s    500  0.10 |  61.99 |  62.33→  59.63 | -76.66→ -84.96 | -8.302±0.330
skull1s   1000  0.10 |  75.88 |  76.08→  72.71 |-121.65→-146.96 |-25.308±0.818
skull1s   1500  0.10 |  81.34 |  81.49→  77.91 |-142.95→-183.50 |-40.554±1.239
skull1s   2000  0.10 |  83.85 |  83.96→  80.26 |-158.72→-212.51 |-53.792±1.467
skull1s   3000  0.10 |  86.19 |  86.27→  82.31 |-161.05→-231.77 |-70.715±1.709
skull1s     50  0.20 |   8.66 |   8.85→   8.33 |   5.37→   5.21 | -0.154±0.013
skull1s    200  0.20 |  41.85 |  42.32→  40.73 | -21.10→ -22.45 | -1.353±0.080
skull1s    500  0.20 |  64.74 |  65.06→  62.27 | -67.67→ -76.86 | -9.184±0.340
skull1s   1000  0.20 |  77.67 |  77.85→  74.43 |-107.54→-134.53 |-26.999±0.890
skull1s   1500  0.20 |  82.61 |  82.74→  79.13 |-128.54→-170.41 |-41.865±1.234
skull1s   2000  0.20 |  84.84 |  84.95→  81.19 |-144.16→-199.48 |-55.320±1.493
skull1s   3000  0.20 |  86.87 |  86.94→  82.97 |-149.41→-220.87 |-71.456±1.727
skullCashCap   50  0.10 |   6.21 |   6.23→   0.00 |   4.58→   4.37 | -0.214±0.008
skullCashCap  200  0.10 |  39.54 |  39.61→   0.00 | -23.51→ -24.54 | -1.025±0.023
skullCashCap  500  0.10 |  62.28 |  62.33→   0.00 | -76.66→ -80.81 | -4.154±0.051
skullCashCap 1000  0.10 |  76.05 |  76.08→   0.00 |-121.65→-129.54 | -7.888±0.079
skullCashCap 1500  0.10 |  81.47 |  81.49→   0.00 |-142.95→-152.71 | -9.762±0.090
skullCashCap 2000  0.10 |  83.82 |  83.96→   0.00 |-158.72→-172.47 |-13.754±0.404
skullCashCap 3000  0.10 |  85.84 |  86.27→   0.00 |-161.05→-182.58 |-21.530±0.738
skullCashCap   50  0.20 |   8.82 |   8.85→   0.00 |   5.37→   4.52 | -0.850±0.017
skullCashCap  200  0.20 |  42.27 |  42.32→   0.00 | -21.10→ -23.29 | -2.189±0.034
skullCashCap  500  0.20 |  65.02 |  65.06→   0.00 | -67.67→ -74.08 | -6.405±0.063
skullCashCap 1000  0.20 |  77.83 |  77.85→   0.00 |-107.54→-117.31 | -9.772±0.085
skullCashCap 1500  0.20 |  82.72 |  82.74→   0.00 |-128.54→-139.84 |-11.296±0.097
skullCashCap 2000  0.20 |  84.80 |  84.95→   0.00 |-144.16→-159.23 |-15.066±0.410
skullCashCap 3000  0.20 |  86.50 |  86.94→   0.00 |-149.41→-172.05 |-22.634±0.748
skullCashV1   50  0.10 |   6.21 |   6.23→   0.00 |   4.58→   4.37 | -0.218±0.009
skullCashV1  200  0.10 |  39.54 |  39.61→   0.00 | -23.51→ -25.06 | -1.544±0.056
skullCashV1  500  0.10 |  62.28 |  62.33→   0.00 | -76.66→ -84.17 | -7.508±0.188
skullCashV1 1000  0.10 |  76.05 |  76.08→   0.00 |-121.65→-141.85 |-20.200±0.472
skullCashV1 1500  0.10 |  81.47 |  81.49→   0.00 |-142.95→-175.38 |-32.434±0.750
skullCashV1 2000  0.10 |  83.82 |  83.96→   0.00 |-158.72→-203.51 |-44.794±1.008
skullCashV1 3000  0.10 |  85.84 |  86.27→   0.00 |-161.05→-227.30 |-66.251±1.401
skullCashV1   50  0.20 |   8.82 |   8.85→   0.00 |   5.37→   4.50 | -0.866±0.019
skullCashV1  200  0.20 |  42.27 |  42.32→   0.00 | -21.10→ -23.89 | -2.793±0.067
skullCashV1  500  0.20 |  65.02 |  65.06→   0.00 | -67.67→ -78.08 |-10.404±0.205
skullCashV1 1000  0.20 |  77.83 |  77.85→   0.00 |-107.54→-131.10 |-23.560±0.489
skullCashV1 1500  0.20 |  82.72 |  82.74→   0.00 |-128.54→-164.65 |-36.108±0.756
skullCashV1 2000  0.20 |  84.80 |  84.95→   0.00 |-144.16→-192.42 |-48.260±1.005
skullCashV1 3000  0.20 |  86.50 |  86.94→   0.00 |-149.41→-219.13 |-69.720±1.393
skullCashV2   50  0.10 |   6.21 |   6.23→   5.29 |   4.58→   4.47 | -0.115±0.008
skullCashV2  200  0.10 |  39.54 |  39.61→  34.70 | -23.51→ -24.90 | -1.392±0.056
skullCashV2  500  0.10 |  62.28 |  62.33→  48.05 | -76.66→ -83.95 | -7.292±0.188
skullCashV2 1000  0.10 |  76.05 |  76.08→  54.69 |-121.65→-141.69 |-20.032±0.472
skullCashV2 1500  0.10 |  81.47 |  81.49→  57.08 |-142.95→-175.26 |-32.310±0.750
skullCashV2 2000  0.10 |  83.82 |  83.96→  57.95 |-158.72→-203.41 |-44.693±1.008
skullCashV2 3000  0.10 |  85.84 |  86.27→  58.96 |-161.05→-227.24 |-66.183±1.401
skullCashV2   50  0.20 |   8.82 |   8.85→   7.23 |   5.37→   5.02 | -0.344±0.014
skullCashV2  200  0.20 |  42.27 |  42.32→  36.63 | -21.10→ -23.16 | -2.060±0.066
skullCashV2  500  0.20 |  65.02 |  65.06→  49.49 | -67.67→ -77.11 | -9.441±0.206
skullCashV2 1000  0.20 |  77.83 |  77.85→  55.48 |-107.54→-130.40 |-22.869±0.489
skullCashV2 1500  0.20 |  82.72 |  82.74→  57.60 |-128.54→-164.13 |-35.586±0.757
skullCashV2 2000  0.20 |  84.80 |  84.95→  58.49 |-144.16→-192.00 |-47.845±1.006
skullCashV2 3000  0.20 |  86.50 |  86.94→  59.34 |-149.41→-218.86 |-69.443±1.393
skullGate   50  0.10 |   5.96 |   6.23→   5.53 |   4.58→   4.46 | -0.122±0.011
skullGate  200  0.10 |  38.75 |  39.61→  36.46 | -23.51→ -25.72 | -2.211±0.099
skullGate  500  0.10 |  61.70 |  62.33→  56.36 | -76.66→ -93.63 |-16.975±0.450
skullGate 1000  0.10 |  75.71 |  76.08→  68.44 |-121.65→-174.89 |-53.233±1.154
skullGate 1500  0.10 |   0.00 |  81.49→  81.49 |-142.95→-142.95 |  0.000±0.000
skullGate 2000  0.10 |   0.00 |  83.96→  83.96 |-158.72→-158.72 |  0.000±0.000
skullGate 3000  0.10 |   0.00 |  86.27→  86.27 |-161.05→-161.05 |  0.000±0.000
skullGate   50  0.20 |   8.49 |   8.85→   7.76 |   5.37→   5.06 | -0.308±0.018
skullGate  200  0.20 |  41.46 |  42.32→  38.88 | -21.10→ -23.93 | -2.827±0.117
skullGate  500  0.20 |  64.47 |  65.06→  58.72 | -67.67→ -87.19 |-19.516±0.488
skullGate 1000  0.20 |  77.52 |  77.85→  70.05 |-107.54→-164.14 |-56.603±1.243
skullGate 1500  0.20 |   0.00 |  82.74→  82.74 |-128.54→-128.54 |  0.000±0.000
skullGate 2000  0.20 |   0.00 |  84.95→  84.95 |-144.16→-144.16 |  0.000±0.000
skullGate 3000  0.20 |   0.00 |  86.94→  86.94 |-149.41→-149.41 |  0.000±0.000
skullMini   50  0.10 |   6.23 |   6.23→   0.70 |   4.58→   1.58 | -3.003±0.061
skullMini  200  0.10 |  39.61 |  39.61→  16.02 | -23.51→ -50.56 |-27.045±0.338
skullMini  500  0.10 |  62.33 |  62.33→  42.87 | -76.66→-136.23 |-59.570±0.814
skullMini 1000  0.10 |  76.08 |  76.08→  62.01 |-121.65→-220.98 |-99.328±1.517
skullMini 1500  0.10 |  81.49 |  81.49→  69.71 |-142.95→-269.38 |-126.436±2.037
skullMini 2000  0.10 |  83.96 |  83.96→  73.29 |-158.72→-306.02 |-147.300±2.330
skullMini 3000  0.10 |  86.27 |  86.27→  76.45 |-161.05→-329.51 |-168.460±2.522
skullMini   50  0.20 |   8.85 |   8.85→   1.32 |   5.37→   1.16 | -4.205±0.076
skullMini  200  0.20 |  42.32 |  42.32→  20.58 | -21.10→ -47.27 |-26.170±0.340
skullMini  500  0.20 |  65.06 |  65.06→  48.38 | -67.67→-121.89 |-54.213±0.764
skullMini 1000  0.20 |  77.85 |  77.85→  65.50 |-107.54→-198.13 |-90.590±1.488
skullMini 1500  0.20 |  82.74 |  82.74→  72.17 |-128.54→-244.90 |-116.358±1.975
skullMini 2000  0.20 |  84.95 |  84.95→  75.11 |-144.16→-282.15 |-137.987±2.332
skullMini 3000  0.20 |  86.94 |  86.94→  77.71 |-149.41→-309.37 |-159.957±2.440
skullMiniHalf   50  0.10 |   6.23 |   6.23→   0.12 |   4.58→   1.63 | -2.957±0.055
skullMiniHalf  200  0.10 |  39.61 |  39.61→   9.90 | -23.51→ -45.62 |-22.106±0.211
skullMiniHalf  500  0.10 |  62.33 |  62.33→  32.95 | -76.66→-123.95 |-47.294±0.493
skullMiniHalf 1000  0.10 |  76.08 |  76.08→  55.06 |-121.65→-197.54 |-75.890±0.919
skullMiniHalf 1500  0.10 |  81.49 |  81.49→  64.73 |-142.95→-239.25 |-96.304±1.335
skullMiniHalf 2000  0.10 |  83.96 |  83.96→  69.80 |-158.72→-270.10 |-111.386±1.647
skullMiniHalf 3000  0.10 |  86.27 |  86.27→  74.61 |-161.05→-296.32 |-135.265±2.045
skullMiniHalf   50  0.20 |   8.85 |   8.85→   0.58 |   5.37→   1.24 | -4.127±0.067
skullMiniHalf  200  0.20 |  42.32 |  42.32→  12.97 | -21.10→ -43.82 |-22.725±0.219
skullMiniHalf  500  0.20 |  65.06 |  65.06→  39.67 | -67.67→-111.58 |-43.905±0.480
skullMiniHalf 1000  0.20 |  77.85 |  77.85→  60.11 |-107.54→-175.11 |-67.575±0.909
skullMiniHalf 1500  0.20 |  82.74 |  82.74→  68.46 |-128.54→-213.63 |-85.088±1.295
skullMiniHalf 2000  0.20 |  84.95 |  84.95→  72.58 |-144.16→-243.90 |-99.740±1.582
skullMiniHalf 3000  0.20 |  86.94 |  86.94→  76.49 |-149.41→-272.63 |-123.214±1.994
skullR150   50  0.10 |   6.23 |   6.23→   5.11 |   4.58→   4.34 | -0.241±0.013
skullR150  200  0.10 |  39.61 |  39.61→  33.65 | -23.51→ -25.70 | -2.191±0.042
skullR150  500  0.10 |  62.33 |  62.33→  54.27 | -76.66→ -79.98 | -3.320±0.054
skullR150 1000  0.10 |  76.08 |  76.08→  66.93 |-121.65→-125.67 | -4.014±0.059
skullR150 1500  0.10 |  81.49 |  81.49→  72.11 |-142.95→-147.15 | -4.200±0.061
skullR150 2000  0.10 |  83.96 |  83.96→  74.49 |-158.72→-163.00 | -4.286±0.059
skullR150 3000  0.10 |  86.27 |  86.27→  76.64 |-161.05→-165.47 | -4.421±0.061
skullR150   50  0.20 |   8.85 |   8.85→   7.30 |   5.37→   4.91 | -0.461±0.019
skullR150  200  0.20 |  42.32 |  42.32→  35.46 | -21.10→ -23.97 | -2.868±0.049
skullR150  500  0.20 |  65.06 |  65.06→  55.64 | -67.67→ -71.88 | -4.202±0.062
skullR150 1000  0.20 |  77.85 |  77.85→  67.17 |-107.54→-112.44 | -4.909±0.067
skullR150 1500  0.20 |  82.74 |  82.74→  71.70 |-128.54→-133.66 | -5.121±0.065
skullR150 2000  0.20 |  84.95 |  84.95→  73.66 |-144.16→-149.42 | -5.260±0.064
skullR150 3000  0.20 |  86.94 |  86.94→  75.45 |-149.41→-154.80 | -5.388±0.066
skullR400   50  0.10 |   6.23 |   6.23→   5.11 |   4.58→   4.34 | -0.241±0.013
skullR400  200  0.10 |  39.61 |  39.61→  33.08 | -23.51→ -26.09 | -2.582±0.046
skullR400  500  0.10 |  62.33 |  62.33→  48.94 | -76.66→ -82.78 | -6.121±0.072
skullR400 1000  0.10 |  76.08 |  76.08→  60.06 |-121.65→-129.11 | -7.461±0.083
skullR400 1500  0.10 |  81.49 |  81.49→  64.67 |-142.95→-150.83 | -7.887±0.085
skullR400 2000  0.10 |  83.96 |  83.96→  66.69 |-158.72→-166.84 | -8.119±0.085
skullR400 3000  0.10 |  86.27 |  86.27→  68.45 |-161.05→-169.46 | -8.405±0.083
skullR400   50  0.20 |   8.85 |   8.85→   7.30 |   5.37→   4.91 | -0.461±0.019
skullR400  200  0.20 |  42.32 |  42.32→  34.55 | -21.10→ -24.47 | -3.375±0.054
skullR400  500  0.20 |  65.06 |  65.06→  48.74 | -67.67→ -75.28 | -7.607±0.078
skullR400 1000  0.20 |  77.85 |  77.85→  58.66 |-107.54→-116.57 | -9.033±0.091
skullR400 1500  0.20 |  82.74 |  82.74→  62.50 |-128.54→-138.09 | -9.553±0.095
skullR400 2000  0.20 |  84.95 |  84.95→  64.16 |-144.16→-153.99 | -9.826±0.096
skullR400 3000  0.20 |  86.94 |  86.94→  65.61 |-149.41→-159.51 |-10.096±0.094
skullR50    50  0.10 |   6.23 |   6.23→   5.11 |   4.58→   4.34 | -0.241±0.013
skullR50   200  0.10 |  39.61 |  39.61→  34.20 | -23.51→ -24.93 | -1.422±0.031
skullR50   500  0.10 |  62.33 |  62.33→  55.32 | -76.66→ -78.80 | -2.146±0.040
skullR50  1000  0.10 |  76.08 |  76.08→  68.55 |-121.65→-124.22 | -2.567±0.044
skullR50  1500  0.10 |  81.49 |  81.49→  73.93 |-142.95→-145.62 | -2.677±0.046
skullR50  2000  0.10 |  83.96 |  83.96→  76.44 |-158.72→-161.45 | -2.731±0.046
skullR50  3000  0.10 |  86.27 |  86.27→  78.74 |-161.05→-163.87 | -2.818±0.047
skullR50    50  0.20 |   8.85 |   8.85→   7.30 |   5.37→   4.91 | -0.461±0.019
skullR50   200  0.20 |  42.32 |  42.32→  36.63 | -21.10→ -23.01 | -1.910±0.038
skullR50   500  0.20 |  65.06 |  65.06→  57.89 | -67.67→ -70.34 | -2.665±0.046
skullR50  1000  0.20 |  77.85 |  77.85→  70.22 |-107.54→-110.56 | -3.027±0.049
skullR50  1500  0.20 |  82.74 |  82.74→  75.05 |-128.54→-131.67 | -3.125±0.050
skullR50  2000  0.20 |  84.95 |  84.95→  77.22 |-144.16→-147.34 | -3.183±0.050
skullR50  3000  0.20 |  86.94 |  86.94→  79.24 |-149.41→-152.64 | -3.229±0.051
skullRebuy   50  0.10 |   6.23 |   6.23→   0.08 |   4.58→   4.73 |  0.149±0.017
skullRebuy  200  0.10 |  39.61 |  39.61→   9.18 | -23.51→ -26.05 | -2.539±0.159
skullRebuy  500  0.10 |  62.33 |  62.33→  30.97 | -76.66→ -94.91 |-18.250±0.446
skullRebuy 1000  0.10 |  76.08 |  76.08→  53.43 |-121.65→-163.15 |-41.494±0.858
skullRebuy 1500  0.10 |  81.49 |  81.49→  63.51 |-142.95→-198.16 |-55.218±1.174
skullRebuy 2000  0.10 |  83.96 |  83.96→  68.54 |-158.72→-222.38 |-63.663±1.352
skullRebuy 3000  0.10 |  86.27 |  86.27→  73.27 |-161.05→-228.94 |-67.883±1.372
skullRebuy   50  0.20 |   8.85 |   8.85→   0.19 |   5.37→   5.58 |  0.215±0.022
skullRebuy  200  0.20 |  42.32 |  42.32→  10.65 | -21.10→ -23.59 | -2.489±0.166
skullRebuy  500  0.20 |  65.06 |  65.06→  35.03 | -67.67→ -84.81 |-17.137±0.446
skullRebuy 1000  0.20 |  77.85 |  77.85→  56.70 |-107.54→-145.77 |-38.234±0.869
skullRebuy 1500  0.20 |  82.74 |  82.74→  65.92 |-128.54→-179.05 |-50.506±1.167
skullRebuy 2000  0.20 |  84.95 |  84.95→  70.42 |-144.16→-202.92 |-58.761±1.329
skullRebuy 3000  0.20 |  86.94 |  86.94→  74.59 |-149.41→-212.40 |-62.986±1.333
skullRevive   50  0.10 |   6.23 |   6.23→   5.13 |   4.58→   4.45 | -0.138±0.006
skullRevive  200  0.10 |  39.61 |  39.61→  34.32 | -23.51→ -24.25 | -0.743±0.016
skullRevive  500  0.10 |  62.33 |  62.33→  55.57 | -76.66→ -77.70 | -1.042±0.019
skullRevive 1000  0.10 |  76.08 |  76.08→  68.89 |-121.65→-122.85 | -1.193±0.020
skullRevive 1500  0.10 |  81.49 |  81.49→  74.34 |-142.95→-144.17 | -1.225±0.022
skullRevive 2000  0.10 |  83.96 |  83.96→  76.89 |-158.72→-159.95 | -1.234±0.022
skullRevive 3000  0.10 |  86.27 |  86.27→  79.25 |-161.05→-162.31 | -1.255±0.022
skullRevive   50  0.20 |   8.85 |   8.85→   7.33 |   5.37→   5.03 | -0.338±0.014
skullRevive  200  0.20 |  42.32 |  42.32→  36.79 | -21.10→ -22.41 | -1.309±0.026
skullRevive  500  0.20 |  65.06 |  65.06→  58.24 | -67.67→ -69.38 | -1.711±0.030
skullRevive 1000  0.20 |  77.85 |  77.85→  70.70 |-107.54→-109.42 | -1.880±0.032
skullRevive 1500  0.20 |  82.74 |  82.74→  75.61 |-128.54→-130.45 | -1.910±0.032
skullRevive 2000  0.20 |  84.95 |  84.95→  77.86 |-144.16→-146.08 | -1.917±0.032
skullRevive 3000  0.20 |  86.94 |  86.94→  79.93 |-149.41→-151.33 | -1.921±0.032
skullRide   50  0.10 |   6.23 |   6.23→   5.11 |   4.58→   4.31 | -0.274±0.016
skullRide  200  0.10 |  39.61 |  39.61→  33.08 | -23.51→ -28.09 | -4.582±0.113
skullRide  500  0.10 |  62.33 |  62.33→  47.15 | -76.66→ -89.92 |-13.262±0.259
skullRide 1000  0.10 |  76.08 |  76.08→  50.48 |-121.65→-148.64 |-26.989±0.463
skullRide 1500  0.10 |  81.49 |  81.49→  50.45 |-142.95→-181.25 |-38.300±0.654
skullRide 2000  0.10 |  83.96 |  83.96→  49.67 |-158.72→-207.88 |-49.164±0.836
skullRide 3000  0.10 |  86.27 |  86.27→  48.35 |-161.05→-227.82 |-66.764±1.026
skullRide   50  0.20 |   8.85 |   8.85→   7.30 |   5.37→   4.83 | -0.536±0.024
skullRide  200  0.20 |  42.32 |  42.32→  34.55 | -21.10→ -26.45 | -5.349±0.116
skullRide  500  0.20 |  65.06 |  65.06→  46.78 | -67.67→ -82.52 |-14.849±0.252
skullRide 1000  0.20 |  77.85 |  77.85→  49.10 |-107.54→-136.44 |-28.902±0.433
skullRide 1500  0.20 |  82.74 |  82.74→  48.92 |-128.54→-169.44 |-40.900±0.643
skullRide 2000  0.20 |  84.95 |  84.95→  48.36 |-144.16→-195.43 |-51.275±0.818
skullRide 3000  0.20 |  86.94 |  86.94→  47.43 |-149.41→-218.76 |-69.351±1.015
skullRide2   50  0.10 |   6.23 |   6.23→   5.11 |   4.58→   4.34 | -0.241±0.013
skullRide2  200  0.10 |  39.61 |  39.61→  33.08 | -23.51→ -26.09 | -2.582±0.046
skullRide2  500  0.10 |  62.33 |  62.33→  47.15 | -76.66→ -83.66 | -7.000±0.077
skullRide2 1000  0.10 |  76.08 |  76.08→  50.48 |-121.65→-133.72 |-12.065±0.095
skullRide2 1500  0.10 |  81.49 |  81.49→  50.45 |-142.95→-157.62 |-14.678±0.102
skullRide2 2000  0.10 |  83.96 |  83.96→  49.67 |-158.72→-179.47 |-20.751±0.501
skullRide2 3000  0.10 |  86.27 |  86.27→  48.35 |-161.05→-191.74 |-30.690±0.857
skullRide2   50  0.20 |   8.85 |   8.85→   7.30 |   5.37→   4.91 | -0.461±0.019
skullRide2  200  0.20 |  42.32 |  42.32→  34.55 | -21.10→ -24.47 | -3.375±0.054
skullRide2  500  0.20 |  65.06 |  65.06→  46.78 | -67.67→ -76.23 | -8.554±0.082
skullRide2 1000  0.20 |  77.85 |  77.85→  49.10 |-107.54→-121.13 |-13.600±0.096
skullRide2 1500  0.20 |  82.74 |  82.74→  48.92 |-128.54→-144.57 |-16.025±0.104
skullRide2 2000  0.20 |  84.95 |  84.95→  48.36 |-144.16→-165.92 |-21.758±0.491
skullRide2 3000  0.20 |  86.94 |  86.94→  47.43 |-149.41→-180.72 |-31.304±0.853
swerve      50  0.10 |   4.04 |   6.23→   6.26 |   4.58→   4.60 |  0.015±0.034
swerve     200  0.10 |  10.29 |  39.61→  39.58 | -23.51→ -23.50 |  0.007±0.138
swerve     500  0.10 |  20.03 |  62.33→  62.33 | -76.66→ -76.70 | -0.040±0.466
swerve    1000  0.10 |  16.74 |  76.08→  76.15 |-121.65→-121.02 |  0.633±0.854
swerve    1500  0.10 |  12.91 |  81.49→  81.47 |-142.95→-143.29 | -0.341±0.958
swerve    2000  0.10 |  10.30 |  83.96→  83.94 |-158.72→-158.96 | -0.247±1.095
swerve    3000  0.10 |   6.96 |  86.27→  86.25 |-161.05→-161.90 | -0.844±0.956
swerve      50  0.20 |   6.48 |   8.85→   8.83 |   5.37→   5.34 | -0.029±0.054
swerve     200  0.20 |  12.11 |  42.32→  42.27 | -21.10→ -21.13 | -0.036±0.160
swerve     500  0.20 |  20.00 |  65.06→  65.01 | -67.67→ -67.74 | -0.069±0.483
swerve    1000  0.20 |  15.69 |  77.85→  77.88 |-107.54→-107.26 |  0.270±0.811
swerve    1500  0.20 |  11.89 |  82.74→  82.70 |-128.54→-129.26 | -0.721±0.954
swerve    2000  0.20 |   9.28 |  84.95→  84.94 |-144.16→-144.33 | -0.174±1.003
swerve    3000  0.20 |   6.19 |  86.94→  86.96 |-149.41→-149.17 |  0.244±0.939

== driftless ==
  arm       lev  liq | fire%  | liq% base→arm  | houseEV% base→arm | Δhouse% ±95CI
airbag      50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
airbag     200  0.10 |  14.56 |  14.56→  14.56 |   5.72→   4.95 | -0.769±0.013
airbag     500  0.10 |  52.98 |  52.98→  52.98 |   3.44→   2.00 | -1.434±0.017
airbag    1000  0.10 |  72.32 |  72.32→  72.32 |  -5.78→  -6.85 | -1.075±0.015
airbag    1500  0.10 |  79.41 |  79.41→  79.41 | -16.04→ -16.84 | -0.809±0.014
airbag    2000  0.10 |  82.99 |  82.99→  82.99 | -26.75→ -27.37 | -0.630±0.013
airbag    3000  0.10 |  86.49 |  86.49→  86.49 | -49.33→ -49.75 | -0.412±0.010
airbag      50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
airbag     200  0.20 |  19.40 |  19.40→  19.40 |   7.81→   5.02 | -2.791±0.032
airbag     500  0.20 |  57.12 |  57.12→  57.12 |   8.83→   3.62 | -5.208±0.036
airbag    1000  0.20 |  74.60 |  74.60→  74.60 |   0.92→  -3.13 | -4.050±0.039
